Time (h),Concentration (kmol/m^3),Temperature (K)
0.0,1.0,350.0
0.020202020202020204,1.088160054638726,353.8271801157204
0.04040404040404041,1.1665470502095283,357.4641370561176
0.06060606060606061,1.2340752834387958,360.8994088811581
0.08080808080808081,1.291507293891046,364.19489107844976
0.10101010101010102,1.3391260321493734,367.3727981257834
0.12121212121212122,1.3776238904825993,370.4812820079593
0.14141414141414144,1.4072550762929341,373.5375869090776
0.16161616161616163,1.428680843880725,376.5834087002231
0.18181818181818182,1.4420700885920428,379.6293972003428
0.20202020202020204,1.4477625788353252,382.6882929425191
0.22222222222222224,1.446468373661683,385.78672150643104
0.24242424242424243,1.4382334717925938,388.9258452441901
0.26262626262626265,1.4238003851254892,392.11589894793264
0.2828282828282829,1.403521962211779,395.3617462859605
0.30303030303030304,1.3776559655574008,398.6605359067748
0.32323232323232326,1.3472042998459275,402.001184808172
0.3434343434343435,1.3123280596936084,405.38095114034536
0.36363636363636365,1.2741916202379204,408.7685223342914
0.38383838383838387,1.2332409591529232,412.15190508455083
0.4040404040404041,1.1903612013788485,415.5000212584103
0.42424242424242425,1.1467384302124748,418.77122560057205
0.4444444444444445,1.1025166313047032,421.959690466533
0.4646464646464647,1.058851173672995,425.0201838006519
0.48484848484848486,1.017077822439163,427.90255095090663
0.5050505050505051,0.9781232783568486,430.5723908805962
0.5252525252525253,0.9421027359436039,433.026103347794
0.5454545454545455,0.909571580593838,435.24338064040535
0.5656565656565657,0.8805670930922078,437.2281686883158
0.5858585858585859,0.8547155892166721,439.0035083281377
0.6060606060606061,0.8319658158172601,440.57744489901904
0.6262626262626263,0.8120515582776835,441.9675104508041
0.6464646464646465,0.7946843171050566,443.19222051275193
0.6666666666666667,0.7796158418246274,444.26856479266223
0.686868686868687,0.7665118278343566,445.2171604411093
0.7070707070707072,0.755307190121992,446.04186081331125
0.7272727272727273,0.7456782900721766,446.762771827505
0.7474747474747475,0.7374798408635913,447.38891923882375
0.7676767676767677,0.7304786217555608,447.9343911407505
0.787878787878788,0.7244576914831274,448.4122922374903
0.8080808080808082,0.7193118509472931,448.82914855528537
0.8282828282828284,0.7148341686286046,449.19779709121224
0.8484848484848485,0.7110019896734263,449.5196767237184
0.8686868686868687,0.7076459039768219,449.8056275130638
0.888888888888889,0.7047226361178137,450.058418527666
0.9090909090909092,0.702168373572557,450.2823932044199
0.9292929292929294,0.6999082216991098,450.4826492910944
0.9494949494949496,0.6979300981208035,450.66006908116356
0.9696969696969697,0.6961705029446401,450.81929263628933
0.98989898989899,0.6946196927237637,450.96103350756937
1.0101010101010102,0.6932430033760298,451.08795165760523
1.0303030303030305,0.6920184985746367,451.20173037945693
1.0505050505050506,0.6909356825447662,451.303199817682
1.0707070707070707,0.6899656132690025,451.3946490894404
1.090909090909091,0.6891052213372527,451.47632631248246
1.1111111111111112,0.688333312855059,451.5499890654236
1.1313131313131315,0.6876427277281555,451.61623112439065
1.1515151515151516,0.6870295639184226,451.67538232403706
1.1717171717171717,0.6864761523307512,451.7289362120126
1.191919191919192,0.6859803344907472,451.7770752415974
1.2121212121212122,0.6855365254980091,451.82029615945135
1.2323232323232325,0.6851347091632005,451.85948985139964
1.2525252525252526,0.6847746213166445,451.89468018091924
1.272727272727273,0.6844497400864117,451.92648472653264
1.292929292929293,0.6841557153883544,451.95531541269486
1.3131313131313131,0.6838925472224726,451.98117223940585
1.3333333333333335,0.6836565813465822,452.0044003382119
1.3535353535353536,0.683442410316431,452.02551042501534
1.373737373737374,0.6832499844956001,452.04450718781817
1.393939393939394,0.6830777984812408,452.0615329452566
1.4141414141414144,0.682921230683001,452.0770246158845
1.4343434343434345,0.6827799573603021,452.0910128056741
1.4545454545454546,0.6826534613017722,452.10354810003895
1.474747474747475,0.6825382455650693,452.1149725144194
1.494949494949495,0.682433656388086,452.1253499894563
1.5151515151515154,0.6823396937708225,452.13468052514975
1.5353535353535355,0.6822563473181373,452.14296513531957
1.5555555555555556,0.6821812930725586,452.1504304714563
1.575757575757576,0.6821127601801699,452.1572492418322
1.595959595959596,0.682050748640971,452.1634214464472
1.6161616161616164,0.6819952584549622,452.16894708530145
1.6363636363636365,0.6819457251871011,452.17388121941565
1.6565656565656568,0.6819003453376763,452.1783997814091
1.676767676767677,0.6818589839263425,452.18251593870593
1.696969696969697,0.6818216409530995,452.1862296913062
1.7171717171717173,0.681788262584444,452.1895464144427
1.7373737373737375,0.6817578330104751,452.19256753593476
1.7575757575757578,0.6817299665921808,452.19533156153415
1.777777777777778,0.6817046633295611,452.1978384912408
1.7979797979797982,0.6816819232226161,452.2000883250547
1.8181818181818183,0.6816616479250666,452.20209112340723
1.8383838383838385,0.6816431097751792,452.20392132318557
1.8585858585858588,0.6816261612536756,452.2055940150223
1.878787878787879,0.6816108023605555,452.20710919891746
1.8989898989898992,0.6815970330958191,452.208466874871
1.9191919191919193,0.6815847422968964,452.20967858310394
1.9393939393939394,0.6815735149111464,452.2107874118532
1.9595959595959598,0.6815633115913884,452.2117974459035
1.97979797979798,0.6815541323376221,452.21270868525494
2.0,0.6815459771498478,452.2135211299074
